Model,n_dim,Accuracy,Training_Time
XGBoost,10,0.745,4.245176315307617
LightGBM,10,0.73,1.7461848258972168
CatBoost,10,0.76,2.4461913108825684
YDF,10,0.745,0.164717435836792
XGBoost,50,0.745,4.245176315307617
LightGBM,50,0.73,1.7461848258972168
CatBoost,50,0.76,2.4461913108825684
YDF,50,0.745,0.14924073219299316
XGBoost,100,0.745,4.245176315307617
LightGBM,100,0.73,1.7461848258972168
CatBoost,100,0.76,2.4461913108825684
YDF,100,0.745,0.14579010009765625
XGBoost,200,0.745,4.245176315307617
LightGBM,200,0.73,1.7461848258972168
CatBoost,200,0.76,2.4461913108825684
YDF,200,0.745,0.15058040618896484
XGBoost,400,0.745,4.245176315307617
LightGBM,400,0.73,1.7461848258972168
CatBoost,400,0.76,2.4461913108825684
YDF,400,0.745,0.1512293815612793
XGBoost,800,0.745,4.245176315307617
LightGBM,800,0.73,1.7461848258972168
CatBoost,800,0.76,2.4461913108825684
YDF,800,0.745,0.14429807662963867
XGBoost,1600,0.745,4.245176315307617
LightGBM,1600,0.73,1.7461848258972168
CatBoost,1600,0.76,2.4461913108825684
YDF,1600,0.745,0.14420318603515625
XGBoost,3200,0.745,4.245176315307617
LightGBM,3200,0.73,1.7461848258972168
CatBoost,3200,0.76,2.4461913108825684
YDF,3200,0.745,0.14298677444458008
XGBoost,6400,0.745,4.245176315307617
LightGBM,6400,0.73,1.7461848258972168
CatBoost,6400,0.76,2.4461913108825684
YDF,6400,0.745,0.1456589698791504
XGBoost,9600,0.745,4.245176315307617
LightGBM,9600,0.73,1.7461848258972168
CatBoost,9600,0.76,2.4461913108825684
YDF,9600,0.745,0.14465045928955078
XGBoost,12800,0.745,4.245176315307617
LightGBM,12800,0.73,1.7461848258972168
CatBoost,12800,0.76,2.4461913108825684
YDF,12800,0.745,0.3072192668914795
XGBoost,18000,0.745,4.245176315307617
LightGBM,18000,0.73,1.7461848258972168
CatBoost,18000,0.76,2.4461913108825684
YDF,18000,0.745,0.14567089080810547
XGBoost,25600,0.745,4.245176315307617
LightGBM,25600,0.73,1.7461848258972168
CatBoost,25600,0.76,2.4461913108825684
YDF,25600,0.745,0.14667510986328125
XGBoost,50000,0.745,4.245176315307617
LightGBM,50000,0.73,1.7461848258972168
CatBoost,50000,0.76,2.4461913108825684
YDF,50000,0.745,0.14978599548339844
