Model,n_dim,Accuracy,Training_Time
LightGBM,10,0.76,0.48769259452819824
LightGBM_improved,10,0.775,0.24427175521850586
YDF,10,0.81,0.45123958587646484
LightGBM,50,0.755,0.4809401035308838
LightGBM_improved,50,0.785,0.32207298278808594
YDF,50,0.77,0.505439043045044
LightGBM,100,0.755,0.504892110824585
LightGBM_improved,100,0.765,0.3038496971130371
YDF,100,0.77,0.5650739669799805
LightGBM,200,0.73,0.6371021270751953
LightGBM_improved,200,0.765,0.338165283203125
YDF,200,0.795,0.6293370723724365
LightGBM,400,0.77,0.7259376049041748
LightGBM_improved,400,0.795,0.38194727897644043
YDF,400,0.79,0.8316390514373779
LightGBM,800,0.74,1.0241830348968506
LightGBM_improved,800,0.8,0.43345117568969727
YDF,800,0.84,0.9369621276855469
LightGBM,1600,0.73,1.7672042846679688
LightGBM_improved,1600,0.77,0.6184818744659424
YDF,1600,0.815,1.5228497982025146
LightGBM,3200,0.74,2.9163994789123535
LightGBM_improved,3200,0.785,0.9151828289031982
YDF,3200,0.75,2.4221596717834473
LightGBM,6400,0.73,5.597792148590088
LightGBM_improved,6400,0.775,1.748323678970337
YDF,6400,0.76,4.036348342895508
LightGBM,9600,0.71,8.31821870803833
LightGBM_improved,9600,0.77,2.656585454940796
YDF,9600,0.68,5.847606897354126
LightGBM,12800,0.725,10.966636657714844
LightGBM_improved,12800,0.745,3.654735803604126
YDF,12800,0.655,7.618018627166748
LightGBM,25600,0.73,22.752669095993042
LightGBM_improved,25600,0.72,7.505970001220703
YDF,25600,0.61,15.446246862411499
LightGBM,51200,0.715,47.010517835617065
LightGBM_improved,51200,0.76,17.295886039733887
YDF,51200,0.49,6.642320156097412
