Model,n_dim,Accuracy,Training_Time
LightGBM_default (GPU),10,0.76,0.4294610023498535
LightGBM_subsample (GPU),10,0.75,0.43540430068969727
LightGBM_improved (GPU),10,0.775,0.23592281341552734
YDF_SPORF(CPU),10,0.81,0.4235801696777344
YDF_default (CPU),10,0.795,0.036000728607177734
LightGBM_default (GPU),50,0.755,0.4782989025115967
LightGBM_subsample (GPU),50,0.83,0.444857120513916
LightGBM_improved (GPU),50,0.785,0.2631046772003174
YDF_SPORF(CPU),50,0.77,0.4869840145111084
YDF_default (CPU),50,0.79,0.055513620376586914
LightGBM_default (GPU),100,0.755,0.49654507637023926
LightGBM_subsample (GPU),100,0.775,0.46820688247680664
LightGBM_improved (GPU),100,0.765,0.29202747344970703
YDF_SPORF(CPU),100,0.77,0.5030624866485596
YDF_default (CPU),100,0.82,0.057001352310180664
LightGBM_default (GPU),200,0.73,0.5159835815429688
LightGBM_subsample (GPU),200,0.765,0.5188302993774414
LightGBM_improved (GPU),200,0.765,0.3025336265563965
YDF_SPORF(CPU),200,0.795,0.6326010227203369
YDF_default (CPU),200,0.82,0.07951498031616211
LightGBM_default (GPU),400,0.77,0.6629753112792969
LightGBM_subsample (GPU),400,0.795,0.6015698909759521
LightGBM_improved (GPU),400,0.795,0.3470494747161865
YDF_SPORF(CPU),400,0.79,0.7005856037139893
YDF_default (CPU),400,0.805,0.10191774368286133
LightGBM_default (GPU),800,0.74,0.9440739154815674
LightGBM_subsample (GPU),800,0.79,0.7941462993621826
LightGBM_improved (GPU),800,0.8,0.4184117317199707
YDF_SPORF(CPU),800,0.84,0.9617836475372314
YDF_default (CPU),800,0.815,0.1533041000366211
LightGBM_default (GPU),1600,0.73,1.627286672592163
LightGBM_subsample (GPU),1600,0.775,1.0835046768188477
LightGBM_improved (GPU),1600,0.77,0.5394248962402344
YDF_SPORF(CPU),1600,0.815,1.410524606704712
YDF_default (CPU),1600,0.805,0.22102737426757812
LightGBM_default (GPU),3200,0.74,2.8447201251983643
LightGBM_subsample (GPU),3200,0.785,1.9152371883392334
LightGBM_improved (GPU),3200,0.785,0.9008381366729736
YDF_SPORF(CPU),3200,0.75,2.277843952178955
YDF_default (CPU),3200,0.765,0.3735623359680176
LightGBM_default (GPU),6400,0.73,5.58294415473938
LightGBM_subsample (GPU),6400,0.785,3.625786542892456
LightGBM_improved (GPU),6400,0.775,1.783534288406372
YDF_SPORF(CPU),6400,0.76,4.400336503982544
YDF_default (CPU),6400,0.73,0.6520752906799316
LightGBM_default (GPU),9600,0.71,8.335466384887695
LightGBM_subsample (GPU),9600,0.765,5.3378729820251465
LightGBM_improved (GPU),9600,0.77,2.9306886196136475
YDF_SPORF(CPU),9600,0.68,6.427470684051514
YDF_default (CPU),9600,0.685,0.9775471687316895
LightGBM_default (GPU),12800,0.725,11.017704963684082
LightGBM_subsample (GPU),12800,0.72,7.05541205406189
LightGBM_improved (GPU),12800,0.745,3.674846887588501
YDF_SPORF(CPU),12800,0.655,7.6563379764556885
YDF_default (CPU),12800,0.67,1.4320461750030518
LightGBM_default (GPU),25600,0.73,23.405439376831055
LightGBM_subsample (GPU),25600,0.73,15.109426736831665
LightGBM_improved (GPU),25600,0.72,8.268221139907837
YDF_SPORF(CPU),25600,0.61,15.96858024597168
YDF_default (CPU),25600,0.71,2.9184043407440186
LightGBM_default (GPU),30000,0.73,29.478660583496094
LightGBM_subsample (GPU),30000,0.75,18.066763639450073
LightGBM_improved (GPU),30000,0.75,9.738788604736328
YDF_SPORF(CPU),30000,0.655,18.984891891479492
YDF_default (CPU),30000,0.645,3.989107131958008
LightGBM_default (GPU),40000,0.72,37.923609256744385
LightGBM_subsample (GPU),40000,0.73,25.55612540245056
LightGBM_improved (GPU),40000,0.775,13.576397180557251
YDF_SPORF(CPU),40000,0.6,23.96962594985962
YDF_default (CPU),40000,0.575,5.769174575805664
LightGBM_default (GPU),51200,0.715,50.64065766334534
LightGBM_subsample (GPU),51200,0.725,34.48884177207947
LightGBM_improved (GPU),51200,0.76,18.489242553710938
YDF_SPORF(CPU),51200,0.49,7.12163519859314
YDF_default (CPU),51200,0.565,7.78180456161499
